Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT031,"GRAPHIC","GRAPHIC",DB2/UDB,7.1,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle Database,21c,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle Database,12cR2,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle Database,12c,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle Database,11g,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle Database,10g,N,N,N,
LOGDT052,"HTTPURIType","HTTPURITYPE",Oracle,9i,N,N,N,
LOGDT052,"HTTPURIType","CHAR",SQL Server,2012,N,N,N,
LOGDT052,"HTTPURIType","CHAR",SQL Server,2008,N,N,N,
LOGDT052,"HTTPURIType","CHAR",SQL Server,2005,N,N,N,
LOGDT052,"HTTPURIType","CHAR",SQL Server,2000,N,N,N,
LOGDT052,"HTTPURIType","CHAR",DB2/390,8,N,N,N,
LOGDT052,"HTTPURIType","CHAR",DB2/390,7,N,N,N,
